name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183011 9352000   -0.0727592 1.33822 0.880478
anonymous:0 1603183011 19617000   -0.0726673 1.33794 0.880433
anonymous:0 1603183011 29442000   -0.0725645 1.33766 0.880331
anonymous:0 1603183011 39262000   -0.0726817 1.33757 0.880372
anonymous:0 1603183011 49342000   -0.0726822 1.33727 0.880375
anonymous:0 1603183011 59429000   -0.0726504 1.33701 0.880274
anonymous:0 1603183011 69467000   -0.0727433 1.33684 0.880264
anonymous:0 1603183011 79410000   -0.0728289 1.33662 0.880261
anonymous:0 1603183011 89128000   -0.0727514 1.33635 0.880226
anonymous:0 1603183011 99297000   -0.0728469 1.33613 0.880225
anonymous:0 1603183011 109096000   -0.0730206 1.33593 0.880159
anonymous:0 1603183011 119460000   -0.0730705 1.33566 0.88015
anonymous:0 1603183011 129556000   -0.0734354 1.33556 0.880115
anonymous:0 1603183011 139324000   -0.0735576 1.33537 0.880031
anonymous:0 1603183011 149551000   -0.0735594 1.33506 0.880058
anonymous:0 1603183011 159574000   -0.0738657 1.33479 0.879997
anonymous:0 1603183011 169658000   -0.0740496 1.33458 0.880063
anonymous:0 1603183011 179444000   -0.0741541 1.33427 0.880031
anonymous:0 1603183011 188777000   -0.0745195 1.33399 0.880095
anonymous:0 1603183011 199185000   -0.075131 1.33371 0.880028
anonymous:0 1603183011 259672000   -0.0714609 1.33152 0.884032
anonymous:0 1603183011 269677000   -0.0786781 1.33132 0.879845
anonymous:0 1603183011 279595000   -0.072749 1.33019 0.883212
anonymous:0 1603183011 289690000   -0.0734962 1.32982 0.883172
anonymous:0 1603183011 299285000   -0.0809221 1.33016 0.879428
anonymous:0 1603183011 309652000   -0.0823459 1.33016 0.879362
anonymous:0 1603183011 319556000   -0.0831987 1.32993 0.879234
anonymous:0 1603183011 329353000   -0.0838636 1.32944 0.879345
anonymous:0 1603183011 339284000   -0.084564 1.32899 0.879258
anonymous:0 1603183011 349648000   -0.0853955 1.32862 0.879347
anonymous:0 1603183011 359542000   -0.0861457 1.32815 0.879279
anonymous:0 1603183011 369822000   -0.0872267 1.32783 0.879125
anonymous:0 1603183011 379322000   -0.0884 1.3277 0.878851
anonymous:0 1603183011 389124000   -0.0894735 1.32742 0.878426
anonymous:0 1603183011 399478000   -0.0903689 1.32706 0.878095
anonymous:0 1603183011 408858000   -0.0919189 1.32701 0.878085
anonymous:0 1603183011 419564000   -0.0931449 1.32696 0.8781
anonymous:0 1603183011 429518000   -0.093908 1.32653 0.878134
anonymous:0 1603183011 439069000   -0.0952117 1.32643 0.877945
anonymous:0 1603183011 449386000   -0.0966182 1.32623 0.877559
anonymous:0 1603183011 459032000   -0.0978905 1.32604 0.876632
anonymous:0 1603183011 469527000   -0.0989338 1.32578 0.876214
anonymous:0 1603183011 479790000   -0.100791 1.32601 0.876123
anonymous:0 1603183011 489547000   -0.102117 1.32585 0.875946
anonymous:0 1603183011 499088000   -0.103931 1.32561 0.875372
anonymous:0 1603183011 509555000   -0.105692 1.32561 0.874706
anonymous:0 1603183011 519620000   -0.106678 1.3252 0.87434
anonymous:0 1603183011 529357000   -0.107618 1.32459 0.87423
anonymous:0 1603183011 538461000   -0.109578 1.32414 0.874079
anonymous:0 1603183011 548367000   -0.111804 1.32374 0.873739
anonymous:0 1603183011 557929000   -0.113062 1.32319 0.873608
anonymous:0 1603183011 567842000   -0.115274 1.32284 0.873009
anonymous:0 1603183011 578507000   -0.117067 1.32147 0.873146
anonymous:0 1603183011 589029000   -0.119129 1.32054 0.873008
anonymous:0 1603183011 599220000   -0.121549 1.31989 0.872782
