name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183100 450340000   0.0594766 0.798478 1.50715
anonymous:0 1603183100 460245000   0.0585113 0.797308 1.50728
anonymous:0 1603183100 470645000   0.0586614 0.795662 1.50714
anonymous:0 1603183100 480543000   0.0579635 0.794226 1.50717
anonymous:0 1603183100 490518000   0.0671253 0.793213 1.5087
anonymous:0 1603183100 500485000   0.0559068 0.790659 1.50698
anonymous:0 1603183100 510151000   0.0640938 0.789341 1.50803
anonymous:0 1603183100 520478000   0.0622549 0.787195 1.50751
anonymous:0 1603183100 530214000   0.0602476 0.78504 1.50701
anonymous:0 1603183100 540181000   0.0583295 0.782879 1.50657
anonymous:0 1603183100 550519000   0.0458626 0.779949 1.50485
anonymous:0 1603183100 560700000   0.0542806 0.778247 1.50568
anonymous:0 1603183100 570514000   0.0401031 0.77545 1.50407
anonymous:0 1603183100 580538000   0.049797 0.773313 1.50492
anonymous:0 1603183100 590386000   0.0474095 0.770672 1.50452
anonymous:0 1603183100 600527000   0.0308859 0.767459 1.50261
anonymous:0 1603183100 610225000   0.0288016 0.764238 1.50262
anonymous:0 1603183100 620154000   0.0249502 0.761385 1.50222
anonymous:0 1603183100 630554000   0.0210839 0.758775 1.50203
anonymous:0 1603183100 640289000   0.0178859 0.755624 1.50175
anonymous:0 1603183100 650389000   0.0128742 0.75305 1.50109
anonymous:0 1603183100 660756000   0.00972394 0.750033 1.50126
anonymous:0 1603183100 670226000   0.00562999 0.747193 1.50104
anonymous:0 1603183100 680535000   0.00188645 0.744037 1.50103
anonymous:0 1603183100 690501000   -0.00228503 0.740934 1.50099
anonymous:0 1603183100 700240000   -0.00687867 0.737946 1.50105
anonymous:0 1603183100 711164000   -0.0112731 0.734691 1.50112
anonymous:0 1603183100 720938000   -0.0154376 0.73103 1.50111
anonymous:0 1603183100 730958000   -0.0209315 0.728087 1.5014
anonymous:0 1603183100 740812000   -0.0258956 0.724718 1.50152
anonymous:0 1603183100 750497000   -0.0312801 0.721515 1.50169
anonymous:0 1603183100 760845000   -0.0362726 0.718032 1.50187
anonymous:0 1603183100 770172000   -0.041229 0.714503 1.50205
anonymous:0 1603183100 780672000   -0.0474342 0.711607 1.50241
anonymous:0 1603183100 790599000   -0.0528391 0.708097 1.50248
anonymous:0 1603183100 800582000   -0.0587225 0.704863 1.50297
anonymous:0 1603183100 810908000   -0.0650908 0.70177 1.50314
anonymous:0 1603183100 821005000   -0.0712476 0.698403 1.50321
anonymous:0 1603183100 830691000   -0.0777442 0.695103 1.50339
anonymous:0 1603183100 840565000   -0.0840825 0.69162 1.50339
anonymous:0 1603183100 850793000   -0.0910358 0.688291 1.50349
anonymous:0 1603183100 860821000   -0.0976596 0.684751 1.50343
anonymous:0 1603183100 870602000   -0.104654 0.681377 1.50311
anonymous:0 1603183100 880703000   -0.110947 0.677564 1.50334
anonymous:0 1603183100 890336000   -0.118157 0.674159 1.50318
anonymous:0 1603183100 900734000   -0.124711 0.670833 1.50361
anonymous:0 1603183100 910841000   -0.131648 0.667355 1.50332
anonymous:0 1603183100 921364000   -0.138696 0.664392 1.50385
anonymous:0 1603183100 930781000   -0.145834 0.66098 1.50395
anonymous:0 1603183100 940549000   -0.153786 0.657903 1.504
anonymous:0 1603183100 950696000   -0.160948 0.654862 1.50465
anonymous:0 1603183100 960359000   -0.168219 0.651724 1.50478
anonymous:0 1603183100 970690000   -0.177025 0.648936 1.50459
anonymous:0 1603183100 980788000   -0.183872 0.645685 1.50522
anonymous:0 1603183100 990218000   -0.191541 0.642816 1.50541
anonymous:0 1603183101 708000   -0.199942 0.64031 1.5056
anonymous:0 1603183101 10749000   -0.208067 0.637745 1.50578
anonymous:0 1603183101 20777000   -0.217051 0.635696 1.50579
anonymous:0 1603183101 30731000   -0.224718 0.633148 1.506
anonymous:0 1603183101 40605000   -0.233074 0.630873 1.50611
anonymous:0 1603183101 50662000   -0.241324 0.62856 1.50619
anonymous:0 1603183101 60714000   -0.249874 0.626468 1.50603
anonymous:0 1603183101 70584000   -0.258354 0.624401 1.50586
anonymous:0 1603183101 80862000   -0.267251 0.622565 1.50562
anonymous:0 1603183101 90792000   -0.276023 0.620646 1.50515
